1,1,1416053275000,0,,,,
2,2,1416053275000,1,1418645275000,1,1,
3,3,1416053275000,1,1418645275000,3,1,
4,4,1416053275000,1,1418645275000,1,5,
5,5,1416053275000,0,,,,
6,9,1416053275000,0,,,,
7,11,1416053275000,1,1418645275000,1,1,
8,12,1416053275000,1,1418645275000,1,1,
9,14,1416053275000,1,1418645275000,1,3,
10,16,1416053275000,1,1418645275000,1,1,
11,17,1418645275000,0,,,,
12,18,1416139675000,0,,,,
13,19,1416139675000,1,1418645275000,1,2,
14,20,1416139675000,1,1418645275000,1,3,
15,21,1416139675000,1,1418645275000,1,1,
16,22,1416139675000,1,1418645275000,1,7,
17,24,1416139675000,1,1418645275000,1,1,
18,25,1416139675000,1,1418645275000,1,1,
19,26,1416139675000,1,1418645275000,1,1,
20,27,1416139675000,1,1418645275000,1,1,
21,28,1416139675000,1,1418645275000,1,10,
22,30,1416139675000,1,1418645275000,5,1,
23,31,1416139675000,1,1418645275000,5,1,
24,32,1416139675000,1,1418645275000,7,1
